left    right[formula_1    formula_2]
0  bound = 9.12053e-18  bound = 6.93889e-18
1.20085e-17  bound = 1.27926e-16  bound = 1.11022e-16
1.98994e-17  bound = 7.84479e-16  bound = 6.66134e-16
9.57136e-17  bound = 2.17052e-15  bound = 1.77636e-15
6.47719e-18  bound = 2.24072e-16  bound = 1.38778e-16
3.82164e-17  bound = 1.90094e-15  bound = 1.33227e-15
9.24791e-17  bound = 2.20014e-15  bound = 1.55431e-15
2.5413e-17  bound = 1.26342e-15  bound = 8.88178e-16
7.88203e-18  bound = 1.65866e-15  bound = 9.99201e-16
3.15025e-17  bound = 1.4109e-15  bound = 1.11022e-15
1.14178e-17  bound = 2.47068e-15  bound = 2.44249e-15
2.26385e-18  bound = 6.91697e-15  bound = 5.32907e-15
8.95511e-17  bound = 5.35e-15  bound = 2.88658e-15
3.32604e-16  bound = 6.43069e-15  bound = 6.21725e-15
2.71658e-18  bound = 9.36175e-16  bound = 8.32667e-16
9.15545e-18  bound = 5.50844e-15  bound = 3.55271e-15
4.97695e-18  bound = 4.05597e-16  bound = 2.35922e-16
2.9597e-17  bound = 2.29417e-15  bound = 1.9984e-15
5.26535e-17  bound = 4.31524e-15  bound = 4.21885e-15
2.16454e-17  bound = 7.57503e-15  bound = 4.44089e-15
5.10371e-17  bound = 8.92808e-15  bound = 4.66294e-15
1.19193e-17  bound = 2.72551e-15  bound = 2.44249e-15
1.04562e-17  bound = 1.03869e-15  bound = 6.38378e-16
1.24647e-16  bound = 4.82832e-14  bound = 4.26326e-14
2.15351e-17  bound = 6.73593e-15  bound = 5.55112e-15
2.80688e-17  bound = 3.90514e-14  bound = 2.30926e-14
1.30954e-16  bound = 2.82062e-14  bound = 2.39808e-14
3.17937e-17  bound = 7.17961e-15  bound = 6.21725e-15
8.72612e-19  bound = 4.7356e-16  bound = 4.02456e-16
1.52581e-17  bound = 5.5117e-15  bound = 3.33067e-15
1.60023e-18  bound = 1.29301e-14  bound = 6.88338e-15
1.68605e-16  bound = 1.25467e-13  bound = 1.13687e-13
1.19299e-17  bound = 6.23211e-15  bound = 3.66374e-15
6.58842e-19  bound = 1.09096e-14  bound = 7.54952e-15
1.90363e-17  bound = 1.12424e-14  bound = 7.77156e-15
4.40442e-17  bound = 6.20179e-15  bound = 3.9968e-15
1.0376e-16  bound = 1.24479e-14  bound = 8.21565e-15
2.02792e-17  bound = 2.93023e-15  bound = 2.10942e-15
2.99981e-17  bound = 1.42484e-14  bound = 8.65974e-15
4.67234e-18  bound = 1.3104e-14  bound = 8.88178e-15
1.37143e-16  bound = 3.72292e-14  bound = 3.64153e-14
3.53346e-17  bound = 1.63256e-14  bound = 9.32587e-15
8.28156e-17  bound = 2.0583e-14  bound = 1.90958e-14
1.06264e-16  bound = 1.44119e-14  bound = 9.76996e-15
3.65365e-17  bound = 7.256e-15  bound = 4.996e-15
5.34661e-17  bound = 2.00802e-14  bound = 1.02141e-14
1.03101e-17  bound = 2.49571e-14  bound = 2.08722e-14
5.66321e-18  bound = 9.75363e-16  bound = 6.66134e-16
2.04288e-17  bound = 7.08544e-15  bound = 5.44009e-15
2.97127e-18  bound = 3.111e-15  bound = 2.77556e-15
